"Die","Domain","FrequencyGHz","Core","VminColumn","UpmS2TColumn","DevRevColumn","DevRevStep","TargetS2T","Samples","Slope","Intercept","R2","Vmin_At_Target"
"GTDIE","GTVPG","1.5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU4_RCS_GTVPG_1.500_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U4","DevRevStep_SORT_U1.U4","8PQ8CVAA","0.85","8823","-0.549665110945931","1.09306593378843","0.344200974259994","0.62585058948439"
"GTDIE","GTVPG","2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU4_RCS_GTVPG_2.000_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U4","DevRevStep_SORT_U1.U4","8PQ8CVAA","0.85","8823","-0.751628048448162","1.33756197975957","0.548952726217475","0.698678138578634"
"GTDIE","GTVPG","2.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU4_RCS_GTVPG_2.200_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U4","DevRevStep_SORT_U1.U4","8PQ8CVAA","0.85","8823","-0.806601801976946","1.41539013174621","0.568900383772123","0.729778600065805"
"GTDIE","GTVPG","2.5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU4_RCS_GTVPG_2.500_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U4","DevRevStep_SORT_U1.U4","8PQ8CVAA","0.85","1",,,,
"GTDIE","GTVPG","2.9","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU4_RCS_GTVPG_2.900_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U4","DevRevStep_SORT_U1.U4","8PQ8CVAA","0.85","8822","-1.09091157477886","1.80304725413815","0.689801753840348","0.875772415576121"
"HUBDIE","SAAT","1.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAAT_1.200_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.175239489081586","0.655393257439404","0.0268732684030242","0.506439691720056"
"HUBDIE","SAAT","2.4","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAAT_2.400_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.569974115063347","1.17995405463648","0.314437855851415","0.695476056832631"
"HUBDIE","SAAT","3","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAAT_3.000_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.768746392128313","1.48481700888073","0.244948662797943","0.831382575571663"
"HUBDIE","SAAT","3.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAAT_3.200_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","950","-0.0656818128898374","1.03038839616323","0.00227534601329249","0.974558855206867"
"HUBDIE","SAAT","3.6","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAAT_3.600_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","7843","-1.20644699737153","2.03974008144496","0.564596438326284","1.01426013367916"
"HUBDIE","SAC","1.4","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAC_1.400_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.613659073224529","1.10675412256925","0.521492483705347","0.585143910328405"
